Name,MOID(AU)
216P/LINEAR,1.671965468451471
436P/Garradd,1.6719861694356173
163P/NEAT,1.6740884055581455
78P/Gehrels,1.679574530685447
42P/Neujmin,1.6813123780807604
312P/NEAT,1.6828097759955523
48P/Johnson,1.6893752113196552
295P/LINEAR,1.6908687011378245
83D/Russell,1.6922042159954394
293P/Spacewatch,1.696479342294883
P/2014 A2 (Hill),1.6978738972122285
407P/PANSTARRS-Fuls,1.7020451291423193
190P/Mueller,1.7058748725804935
261P/Larson,1.7074137572223436
224P/LINEAR-NEAT,1.7086835199306893
413P/Larson,1.7168162024142628
253P/PANSTARRS,1.7173332314757601
P/2016 G1 (PANSTARRS),1.7174470072538823
123P/West-Hartley,1.7198308918951073
P/2011 UA134 (Spacewatch-PANSTARRS),1.720748289306566
115P/Maury,1.7217364213582174
P/2019 T6 (PANSTARRS),1.7293325820820566
116P/Wild,1.73248990819895
C/2019 K5 (Young),1.7371085152440253
P/2016 A7 (PANSTARRS),1.7398729177334993
462P/LONEOS-PANSTARRS,1.740301123951917
416P/Scotti,1.7502321214985526
298P/Christensen,1.7504521821627927
P/2012 K3 (Gibbs),1.7531325538692557
399P/PANSTARRS,1.7560904662268586
P/2017 TW13 (Lemmon),1.7585349009814377
435P/PANSTARRS,1.762346127194364
368P/NEAT,1.7643482769257168
94P/Russell,1.7673300939636585
102P/Shoemaker,1.7698943861933465
400P/PANSTARRS,1.7706868354603948
240P/NEAT,1.7723796116287789
17P/Holmes,1.7788616316749162
C/2019 F2 (ATLAS),1.781045269614792
C/2020 T5 (Lemmon),1.789581858118835
175P/Hergenrother,1.7946441888720344
113P/Spitaler,1.7975302080904745
P/2019 A1 (PANSTARRS),1.8031686366072244
44P/Reinmuth,1.8036264839054872
448P/PANSTARRS,1.804240448677992
348P/PANSTARRS,1.806973487193936
C/2021 C3 (Catalina),1.8075795403149457
61P/Shajn-Schaldach,1.8133097906456352
471P/,1.8137697479124235
P/2018 VN2 (Leonard),1.8170015408119577
248P/Gibbs,1.8204652349987884
P/2013 J2 (McNaught),1.8213872594611096
P/2021 R8 (Sheppard),1.825553342961446
466P/PANSTARRS,1.8284331733121137
A/2021 E2,1.8286236539795961
379P/Spacewatch,1.8297252322898299
P/2007 K2 (Gibbs),1.8377339614954056
366P/Spacewatch,1.8391006852752239
279P/LaSagra,1.8395832310129554
245P/WISE,1.846112852874414
257P/Catalina,1.8478882284084492
250P/Larson,1.8546741548066283
346P/Catalina,1.8550318374862205
196P/Tichy,1.8567654761249917
193P/LINEAR-NEAT,1.8598147121882966
86P/Wild,1.8615364005122266
54P/de Vico-Swift-NEAT,1.864606978906502
P/2015 R1 (PANSTARRS),1.8646902419746496
33P/Daniel,1.8725812535293787
89P/Russell,1.8755790795282425
371P/LINEAR-Skiff,1.8848500039117875
455P/PANSTARRS,1.8866740447664603
290P/Jager,1.8869588494200022
P/2016 P1 (PANSTARRS),1.8870485651303552
P/2013 R3 (Catalina-PANSTARRS),1.8877766477512758
P/2013 R3-A (Catalina-PANSTARRS),1.887813989250449
P/2013 R3-B (Catalina-PANSTARRS),1.8878345482090113
P/2013 T1 (PANSTARRS),1.8947106026757676
69P/Taylor,1.8948105653030285
77P/Longmore,1.8958635591983546
A/2019 G2,1.8985014363168224
127P/Holt-Olmstead,1.9003024005883462
211P/Hill,1.9030602113966772
A/2023 H4,1.9044750314181338
P/2015 X6 (PANSTARRS),1.9058068351528499
P/2014 L2 (NEOWISE),1.9086051649606146
347P/PANSTARRS,1.9122795436301971
301P/LINEAR-NEAT,1.9138879059750311
453P/WISE-Lemmon,1.9173479888697718
353P/McNaught,1.9235307701548974
C/2022 S5 (PANSTARRS),1.924689978049737
191P/McNaught,1.925798352679303
C/2020 S8 (Lemmon),1.926194763322818
C/2021 B3 (NEOWISE),1.9264376996377912
373P/Rinner,1.9269281324652152
266P/Christensen,1.9286786380003098
386P/PANSTARRS,1.9294781153172573
438P/Christensen,1.9304882467470728
P/2017 K3 (Gasparovic),1.9405575259454149
297P/Beshore,1.9429054481449424
C/2021 U5 (Catalina),1.9429316844666222
343P/NEAT-LONEOS,1.9442561109486878
315P/LONEOS,1.9476475744948072
C/2019 K1 (ATLAS),1.9488062708923861
P/2010 E2 (Jarnac),1.9563084913822921
457P/Lemmon-PANSTARRS,1.9577402837261835
381P/LINEAR-Spacewatch,1.9660331108942282
397P/Lemmon,1.9662963545694525
P/2019 A4 (PANSTARRS),1.9749393371045325
C/2020 U3 (Rankin),1.9767400482070112
119P/Parker-Hartley,1.9775121100917576
P/2018 L5 (Leonard),1.9784523886797658
338P/McNaught,1.9788648785666125
59P/Kearns-Kwee,1.9802188207340032
P/2001 H5 (NEAT),1.9873248012256681
284P/McNaught,1.989216104293408
272P/NEAT,1.9965760685723821
432P/PANSTARRS,1.998030832601244
P/2019 A3 (PANSTARRS),2.003556077975928
264P/Larsen,2.0042477568390673
442P/McNaught,2.011067478270096
268P/Bernardi,2.0116008657841618
411P/Christensen,2.0141519272390895
P/2009 Y2 (Kowalski),2.014829727300588
P/2019 LM4 (Palomar),2.0149649482619973
143P/Kowal-Mrkos,2.0178901171009493
C/2019 K4 (Ye),2.022923539682112
286P/Christensen,2.0235752296646274
C/2023 C2 (ATLAS),2.0272221735265576
101P/Chernykh,2.0280323787128745
P/2012 T3 (PANSTARRS),2.029047461227338
101P-B/Chernykh,2.032736132967999
465P/Hill,2.034752669037338
P/2021 R4 (Wierzchos),2.034790226704192
P/2014 M4 (PANSTARRS),2.0365548468582677
274P/Tombaugh-Tenagra,2.0398516636375033
P/2016 J1-A (PANSTARRS),2.0432836860361117
P/2016 J1-B (PANSTARRS),2.0433298595273057
43P/Wolf-Harrington,2.0449348776314435
P/2019 B2 (Groeller),2.045812603685211
219P/LINEAR,2.049477194462835
C/2020 PV6 (PANSTARRS),2.058224130039912
180P/NEAT,2.058453620038033
238P/Read,2.059784969886693
C/2018 DO4 (Lemmon),2.0601851089608068
445P/Lemmon-PANSTARRS,2.063913817419433
110P/Hartley,2.0645524171378695
349P/Lemmon,2.0728992801653603
53P/VanBiesbroeck,2.0843309035247293
358P/PANSTARRS,2.0847225515304797
P/2010 J3 (McMillan),2.087708861319225
131P/Mueller,2.090280538569697
367P/Catalina,2.0929949693570844
310P/Hill,2.0963099000724306
P/2022 L3 (ATLAS),2.098586780308471
P/2017 G1 (PANSTARRS),2.100111123357717
C/2019 J1 (Lemmon),2.104527457783869
401P/McNaught,2.1062626297604665
419P/PANSTARRS,2.110245164643034
